https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,ETH/USDT,2617.71,2716.79,2460.28,2520.79,87678793.72,33604.349018,43465462.56,16657.397614,128179,2610.07
1704931200000,2024-01-11 00:00:00,ETH/USDT,2581.17,2674.19,2560.31,2618.9,114596728.27,43991.535477,57373105.78,22024.241721,165585,2605.2
1704844800000,2024-01-10 00:00:00,ETH/USDT,2343.33,2622,2340.95,2579.86,88208729.85,36340.854496,44332319.89,18263.715829,130691,2428.92
1704758400000,2024-01-09 00:00:00,ETH/USDT,2330.22,2360,2229.31,2343.32,90140221.41,39312.088461,44762546.54,19522.193183,130690,2293.2
1704672000000,2024-01-08 00:00:00,ETH/USDT,2221.04,2355.74,2170.01,2329.97,79250392.95,35148.501871,39195238.67,17383.369964,115035,2255.98
1704585600000,2024-01-07 00:00:00,ETH/USDT,2241.32,2255.98,2210.17,2221.16,65701786.29,29321.656804,32577257.76,14538.874813,94666,2240.75
1704499200000,2024-01-06 00:00:00,ETH/USDT,2268.28,2270.19,2217.88,2240.98,73668015.12,32845.857004,36744658.07,16382.54097,105071,2242.88
1704412800000,2024-01-05 00:00:00,ETH/USDT,2268,2275.42,2207.13,2267.92,83333283.12,37123.291281,41096660.81,18307.866748,119539,2244.84
1704326400000,2024-01-04 00:00:00,ETH/USDT,2210.09,2291.91,2202.51,2268.27,73239226.9,32629.918067,36441423.96,16235.598785,105016,2244.81
1704240000000,2024-01-03 00:00:00,ETH/USDT,2355.09,2383.39,2172,2210.18,73807938.27,32281.372363,36472026.5,15948.173001,107205,2288.95
1704153600000,2024-01-02 00:00:00,ETH/USDT,2348.81,2426.22,2344.79,2354.99,65471534.01,27532.357316,32445538.08,13644.008442,96381,2378.09
1704067200000,2024-01-01 00:00:00,ETH/USDT,2282.4,2349.42,2265.68,2348.89,74391929.11,32273.68724,36822066.64,15976.014676,107098,2305.22
1703980800000,2023-12-31 00:00:00,ETH/USDT,2292.2,2320.51,2258.89,2282.03,67191589.74,29271.713888,33218492.27,14470.553107,96481,2295.48
1703894400000,2023-12-30 00:00:00,ETH/USDT,2299.58,2322.08,2269.38,2291.74,80411377.97,34993.739332,40244315.03,17513.85524,113825,2297.91
