https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FIL
1645056000000,2022-02-17 00:00:00,FIL/USD,23.11,23.394,20.2,20.495,1351079.010923105,65922.37184304
1644969600000,2022-02-16 00:00:00,FIL/USD,22.349,23.569,21.544,23.035,1635311.8624858235,70992.48371981
1644883200000,2022-02-15 00:00:00,FIL/USD,20.73,22.528,20.697,22.345,1046128.9464400769,46817.13790289
1644796800000,2022-02-14 00:00:00,FIL/USD,20.593,21.076,20.0,20.736,1212825.7048358477,58488.89394463
1644710400000,2022-02-13 00:00:00,FIL/USD,20.887,21.192,20.458,20.628,261978.75554024594,12700.15297364
1644624000000,2022-02-12 00:00:00,FIL/USD,21.105,21.43,20.333,20.89,329156.5709326588,15756.65729692
1644537600000,2022-02-11 00:00:00,FIL/USD,23.141,23.44,20.837,21.12,591824.3761552321,28021.98750735
1644451200000,2022-02-10 00:00:00,FIL/USD,24.293,24.822,22.895,23.177,645248.9041071612,27840.0528156
1644364800000,2022-02-09 00:00:00,FIL/USD,24.663,24.849,23.484,24.306,321143.679187969,13212.52691467
1644278400000,2022-02-08 00:00:00,FIL/USD,24.532,26.251,23.149,24.654,1744558.308512793,70761.67390739
1644192000000,2022-02-07 00:00:00,FIL/USD,22.495,24.673,22.083,24.519,1259543.1099153855,51370.08482872
1644105600000,2022-02-06 00:00:00,FIL/USD,21.987,22.602,21.595,22.469,207089.88843661026,9216.69359725
1644019200000,2022-02-05 00:00:00,FIL/USD,21.662,22.821,21.387,22.014,430552.22462653136,19558.1095951
1643932800000,2022-02-04 00:00:00,FIL/USD,20.329,21.771,20.23,21.614,579795.0981251799,26824.97909342
1643846400000,2022-02-03 00:00:00,FIL/USD,20.226,20.573,19.566,20.367,1055140.2666484765,51806.36650702
1643760000000,2022-02-02 00:00:00,FIL/USD,20.941,21.452,20.026,20.206,377125.92493401264,18664.05646511
1643673600000,2022-02-01 00:00:00,FIL/USD,21.298,21.588,20.618,20.918,153849.8518734962,7354.9025659
1643587200000,2022-01-31 00:00:00,FIL/USD,19.856,21.576,19.007,21.302,862257.3978568244,40477.76724518
1643500800000,2022-01-30 00:00:00,FIL/USD,20.259,20.878,19.514,19.831,274604.8111421462,13847.24981807
1643414400000,2022-01-29 00:00:00,FIL/USD,19.606,20.794,19.417,20.281,553626.8303763751,27297.80732589
1643328000000,2022-01-28 00:00:00,FIL/USD,19.199,19.855,18.574,19.617,244196.91944055643,12448.22956826
1643241600000,2022-01-27 00:00:00,FIL/USD,19.265,19.962,18.107,19.223,342274.08673831035,17805.44591054
1643155200000,2022-01-26 00:00:00,FIL/USD,18.158,20.405,18.043,19.301,663904.2074814091,34397.39948611
1643068800000,2022-01-25 00:00:00,FIL/USD,18.448,18.507,17.76,18.171,214056.3753411561,11780.1098091
1642982400000,2022-01-24 00:00:00,FIL/USD,19.522,19.524,16.862,18.457,1402077.0007507042,75964.5121499
1642896000000,2022-01-23 00:00:00,FIL/USD,18.974,20.262,18.395,19.511,715384.5918977718,36665.70610926
1642809600000,2022-01-22 00:00:00,FIL/USD,21.967,22.791,16.99,19.016,3204554.8755196943,168518.87229279
1642723200000,2022-01-21 00:00:00,FIL/USD,26.169,26.576,21.171,22.018,1192267.283388184,54149.66315688
1642636800000,2022-01-20 00:00:00,FIL/USD,27.639,28.686,26.014,26.206,202531.5938325088,7728.44363247
1642550400000,2022-01-19 00:00:00,FIL/USD,28.518,28.715,27.285,27.597,242039.4150941878,8770.49734008
1642464000000,2022-01-18 00:00:00,FIL/USD,29.01,29.338,27.696,28.486,610736.8861957897,21439.89630681
1642377600000,2022-01-17 00:00:00,FIL/USD,30.398,30.439,28.534,28.999,325077.17804621655,11209.94441347
1642291200000,2022-01-16 00:00:00,FIL/USD,29.642,31.505,29.634,30.453,320525.61007861624,10525.25564242
1642204800000,2022-01-15 00:00:00,FIL/USD,29.771,30.55,29.322,29.686,306732.36098778225,10332.55948891
1642118400000,2022-01-14 00:00:00,FIL/USD,28.533,29.935,28.033,29.746,602586.9930845283,20257.74870855
1642032000000,2022-01-13 00:00:00,FIL/USD,30.724,30.807,28.401,28.426,589080.7548544338,20723.30805792
1641945600000,2022-01-12 00:00:00,FIL/USD,28.882,30.855,28.516,30.774,1303710.2842575822,42364.01781561
1641859200000,2022-01-11 00:00:00,FIL/USD,28.144,29.222,27.798,28.9,849096.7412021799,29380.5100762
1641772800000,2022-01-10 00:00:00,FIL/USD,30.237,30.333,26.303,28.148,1368353.5294785693,48612.81545682
1641686400000,2022-01-09 00:00:00,FIL/USD,29.447,31.042,29.281,30.282,746416.8891271247,24648.86365257
1641600000000,2022-01-08 00:00:00,FIL/USD,31.564,32.16,28.31,29.409,1880091.2575162747,63929.11209209
1641513600000,2022-01-07 00:00:00,FIL/USD,32.967,32.967,29.787,31.5,2114691.7332419553,67133.07089657
1641427200000,2022-01-06 00:00:00,FIL/USD,33.078,33.444,32.084,33.003,754326.1522540366,22856.29040554
1641340800000,2022-01-05 00:00:00,FIL/USD,36.17,38.369,30.967,33.166,1894745.8613115288,57129.16424385
1641254400000,2022-01-04 00:00:00,FIL/USD,35.073,38.294,34.453,36.08,1150557.3511752936,31889.06183967
1641168000000,2022-01-03 00:00:00,FIL/USD,35.765,35.765,34.407,35.095,521690.384641301,14865.0914558
1641081600000,2022-01-02 00:00:00,FIL/USD,35.879,36.43,35.25,35.835,468275.4231783947,13067.54355179
1640995200000,2022-01-01 00:00:00,FIL/USD,34.297,35.999,34.297,35.907,566233.9946159945,15769.45984393
1640908800000,2021-12-31 00:00:00,FIL/USD,35.005,35.702,33.54,34.212,1057236.483024802,30902.50447284
1640822400000,2021-12-30 00:00:00,FIL/USD,34.227,35.845,33.338,34.885,888912.5678148398,25481.22596574
1640736000000,2021-12-29 00:00:00,FIL/USD,36.302,36.753,33.897,34.151,842903.1402445692,24681.65325304
1640649600000,2021-12-28 00:00:00,FIL/USD,39.127,39.727,35.842,36.223,1147837.866287628,31688.09503044
1640563200000,2021-12-27 00:00:00,FIL/USD,37.364,41.39,36.959,39.172,1550309.0375098425,39576.96920019
1640476800000,2021-12-26 00:00:00,FIL/USD,36.944,37.75,35.504,37.296,898921.728014063,24102.36293474
1640390400000,2021-12-25 00:00:00,FIL/USD,36.482,37.272,36.201,37.037,459002.2997927968,12393.07448748
1640304000000,2021-12-24 00:00:00,FIL/USD,37.286,37.736,36.054,36.442,1094388.5705928789,30030.96895321
1640217600000,2021-12-23 00:00:00,FIL/USD,35.627,38.033,35.133,37.324,1408699.380663133,37742.45473859
1640131200000,2021-12-22 00:00:00,FIL/USD,35.435,36.514,35.117,35.595,1982343.5453997944,55691.6293131
1640044800000,2021-12-21 00:00:00,FIL/USD,34.855,35.932,34.345,35.325,1094627.2654124978,30987.32527707
1639958400000,2021-12-20 00:00:00,FIL/USD,35.657,35.987,33.849,34.862,652052.695535066,18703.82351945
1639872000000,2021-12-19 00:00:00,FIL/USD,36.37,36.705,35.816,35.831,411677.1950935659,11489.41405748
1639785600000,2021-12-18 00:00:00,FIL/USD,35.762,36.783,35.32,36.353,1316768.7204890465,36221.73467084
1639699200000,2021-12-17 00:00:00,FIL/USD,37.269,39.113,35.451,35.701,1517500.1751078959,42505.81706697
1639612800000,2021-12-16 00:00:00,FIL/USD,38.189,38.526,37.062,37.222,210120.4012711761,5645.05940764
1639526400000,2021-12-15 00:00:00,FIL/USD,36.696,38.87,35.636,38.186,614673.395393718,16096.82594128
1639440000000,2021-12-14 00:00:00,FIL/USD,35.702,37.261,35.274,36.732,289595.99342947453,7884.02464961
1639353600000,2021-12-13 00:00:00,FIL/USD,39.711,40.026,35.337,35.898,733575.2339273146,20434.98896672
1639267200000,2021-12-12 00:00:00,FIL/USD,40.448,40.539,38.822,39.729,396860.0240367411,9989.17727697
1639180800000,2021-12-11 00:00:00,FIL/USD,39.882,40.535,38.723,40.399,593864.7277154418,14699.98583419
1639094400000,2021-12-10 00:00:00,FIL/USD,37.566,41.666,37.566,39.93,5936688.256842423,148677.39185681
1639008000000,2021-12-09 00:00:00,FIL/USD,41.39,41.648,36.954,37.566,1003448.5843304275,26711.61647049
1638921600000,2021-12-08 00:00:00,FIL/USD,39.147,43.651,38.853,41.405,2576688.9464728865,62231.34757814
