https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,LTC/USDT,71.887,77.124,70.51,72.914,17310692.01,234668.713795,8391131.11,113748.877831,121024,73.795
1704931200000,2024-01-11 00:00:00,LTC/USDT,69.538,74.405,62.327,71.901,20661629.23,291016.805899,10052163.73,141568.622913,145146,71.016
1704844800000,2024-01-10 00:00:00,LTC/USDT,65.899,70,64.113,69.508,14215041.33,212218.680921,6990834.1,104366.270395,99869,67.002
1704758400000,2024-01-09 00:00:00,LTC/USDT,67.134,67.15,64.113,65.898,17148881.19,261515.953678,8356396.27,127424.831351,120495,65.582
1704672000000,2024-01-08 00:00:00,LTC/USDT,64.044,67.202,61.021,67.137,14705526.22,227896.152324,7267227.45,112606.614768,103355,64.553
1704585600000,2024-01-07 00:00:00,LTC/USDT,65.184,65.724,63.501,64.002,14899612.82,229263.595214,7271247.29,111884.257188,104290,64.991
1704499200000,2024-01-06 00:00:00,LTC/USDT,65.91,65.978,63.204,65.185,16579613.85,255165.265429,7927376.96,122008.001756,115750,64.979
1704412800000,2024-01-05 00:00:00,LTC/USDT,66.25,66.498,63.68,65.91,17697756.96,271000.126823,8610765.09,131858.564028,124069,65.307
1704326400000,2024-01-04 00:00:00,LTC/USDT,65.094,66.688,64.441,66.241,15780852.02,241016.058874,7813393.73,119325.372362,110649,65.48
1704240000000,2024-01-03 00:00:00,LTC/USDT,72.305,73.016,54.531,65.088,15677204.47,229262.563513,7673590.08,112324.721469,111694,68.617
1704153600000,2024-01-02 00:00:00,LTC/USDT,73.597,74.16,71.827,72.3,11539970.66,157723.381505,5696943.52,77867.20529,82429,73.171
1704067200000,2024-01-01 00:00:00,LTC/USDT,71.949,73.698,71.158,73.594,15653825.21,216094.34582,7697767.59,106266.732226,109657,72.444
1703980800000,2023-12-31 00:00:00,LTC/USDT,72.247,73.211,70.837,71.941,15347253.12,211838.219895,7544826.58,104142.267554,108127,72.451
1703894400000,2023-12-30 00:00:00,LTC/USDT,72.262,73.029,71.374,72.229,13843287.3,191592.201565,6736782.52,93237.980679,96016,72.254
1703808000000,2023-12-29 00:00:00,LTC/USDT,73.542,74.578,71.604,72.283,16722842.76,227956.827406,8085682.21,110227.04976,117943,73.364
1703721600000,2023-12-28 00:00:00,LTC/USDT,74,76.371,73.126,73.554,11705932.53,157152.491324,5812025.38,78023.097618,81441,74.498
1703635200000,2023-12-27 00:00:00,LTC/USDT,70.24,73.999,70.011,73.999,7974712.1,112212.611256,3933236.34,55340.122363,56290,71.085
1703548800000,2023-12-26 00:00:00,LTC/USDT,69.259,70.361,68.99,70.279,14539770.83,208740.776049,7196864.37,103320.650189,103402,69.656
1703462400000,2023-12-25 00:00:00,LTC/USDT,69.434,69.986,68.788,69.284,16773764.88,241443.474646,8306026.92,119557.712676,118466,69.473
1703376000000,2023-12-24 00:00:00,LTC/USDT,70.691,70.871,68.75,69.451,17051833.42,242925.807191,8378840.75,119366.526307,119156,70.194
1703289600000,2023-12-23 00:00:00,LTC/USDT,70.2,70.787,69.639,70.705,13397822.42,191334.452507,6646355.12,94917.536843,93757,70.023
1703203200000,2023-12-22 00:00:00,LTC/USDT,69.987,70.2,68.75,70.2,12238765.81,175395.632931,6075145.84,87063.899861,86435,69.778
1703116800000,2023-12-21 00:00:00,LTC/USDT,68.369,70.097,67.51,69.977,16425938.46,238570.784906,8172294.62,118691.896773,117403,68.856
1703030400000,2023-12-20 00:00:00,LTC/USDT,69.334,70.2,67.14,68.368,16885976.1,243839.274034,8207429.28,118520.130863,118981,69.252
1702944000000,2023-12-19 00:00:00,LTC/USDT,69.945,70.332,67.5,69.313,15152554.07,217006.194409,7430248.11,106402.043526,105613,69.828
1702857600000,2023-12-18 00:00:00,LTC/USDT,70.229,70.56,67.128,69.938,13150777.48,190032.383446,6472989.47,93536.957625,92744,69.211
1702771200000,2023-12-17 00:00:00,LTC/USDT,71.421,72.368,69.786,70.23,17101225.51,238987.760494,8352809.14,116728.229562,119957,71.559
1702684800000,2023-12-16 00:00:00,LTC/USDT,70.204,71.769,70.035,71.423,16566143.78,232325.60159,8227979.41,115387.333936,115953,71.306
1702598400000,2023-12-15 00:00:00,LTC/USDT,72.109,72.15,69.891,70.205,15431814.47,217015.124423,7494262.21,105394.758617,108188,71.112
1702512000000,2023-12-14 00:00:00,LTC/USDT,72.639,73.24,66.297,72.114,14160587.44,195729.19367,6753679.63,93355.87873,100046,72.351
1702425600000,2023-12-13 00:00:00,LTC/USDT,71.815,73.218,70,72.636,15343488.81,214672.386324,7423521.73,103863.245307,107969,71.48
1702339200000,2023-12-12 00:00:00,LTC/USDT,72.262,73.185,70.5,71.75,14847398.41,206376.622551,7059962.89,98149.150271,105220,71.947
1702252800000,2023-12-11 00:00:00,LTC/USDT,76.73,77.068,71.05,72.262,14856225.39,203270.246243,6966329.35,95319.758647,106191,73.107
1702166400000,2023-12-10 00:00:00,LTC/USDT,75.267,77.716,75.267,76.758,14025284.61,182397.781184,6731613.4,87547.738203,99956,76.895
1702080000000,2023-12-09 00:00:00,LTC/USDT,77.55,78.562,75.014,75.265,11951982.8,155634.70594,5771549.14,75150.012094,84279,76.801
1701993600000,2023-12-08 00:00:00,LTC/USDT,73.988,77.77,73.36,77.549,14654753.87,195041.187893,7193621.51,95737.84385,103890,75.159
1701907200000,2023-12-07 00:00:00,LTC/USDT,71.078,74.294,70.965,74.002,16305566.27,223767.596683,7920577.72,108693.953828,116373,72.877
1701820800000,2023-12-06 00:00:00,LTC/USDT,72.469,73.842,70.979,71.102,14844896.17,204528.946199,7199854.01,99205.242559,106227,72.586
